Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,YearCommissioned,Retrofit,lat,lon,projectID,YearDecommissioning
Markersbach psw markersbach pss markersbach germany,Hydro,Pumped Storage,Store,DE,1045.2,,3.816494451,6.3,285,1979,1979,50.51938,12.87976,"{'JRC': ['H13'], 'OPSD': ['BNA0652'], 'ENTSOE': ['11WD8MARK1H----7'], 'GEO': ['GEO44337'], 'CARMA': ['CARMA27280']}",2079
Erzhausen psw erzhausen block erzhausen germany,Hydro,Pumped Storage,Store,DE,220,,4.681818182,1.6,287,1964,1998,51.89912,9.92452,"{'JRC': ['H208'], 'OPSD': ['BNA0558'], 'ENTSOE': ['11WD2ERZH0002682'], 'GEO': ['GEO44352'], 'CARMA': ['CARMA12680']}",2098
Goldisthal psw goldisthal pss goldisthal germany,Hydro,Pumped Storage,Store,DE,1052,,7.652091255,12,302,2004,2004,50.50975864,11.02087498,"{'JRC': ['H12'], 'OPSD': ['BNA0350'], 'ENTSOE': ['11WD8GOLD1H----6'], 'GEO': ['GEO44336'], 'CARMA': ['CARMA15413']}",2104
Tierfehd limmern tierfehd limmern gpsw linth–limmern tierfehd stations,Hydro,Reservoir,Store,CH,261,,2.681992337,92,0,1964,2016,46.87611534,8.987029349,"{'JRC': ['H169'], 'OPSD': ['OEU515', 'OEU424'], 'ENTSOE': ['12W-0000000018-B'], 'GEO': ['GEO45437'], 'CARMA': ['CARMA45421']}",2116
Koepchenwerk koepchenwerk koepchenwerk herdecke germany,Hydro,Pumped Storage,Store,DE,165,,3.206060606,1.533,155,1989,1989,51.41048,7.45314,"{'JRC': ['H291'], 'OPSD': ['BNA0443'], 'ENTSOE': ['11WD7KOEP2P--KWG'], 'GEO': ['GEO44351'], 'CARMA': ['CARMA22597']}",2089
Niederaußem,Lignite,OCGT,PP,DE,3406,,0,0,0,1965,2009,50.995692,6.669039,"{'OPSD': ['BNA0709', 'BNA0713', 'BNA0706', 'BNA0712', 'BNA0705', 'BNA0707', 'BNA0708'], 'ENTSOE': ['11WD7NIED-B-KW-5'], 'GPD': ['WRI1005979'], 'GEO': ['GEO44319'], 'CARMA': ['CARMA31142']}",2054
Lünen,Hard Coal,OCGT,PP,DE,1208,,0,0,0,1962,2013,51.61349328,7.475942649,"{'OPSD': ['BNA0619', 'BNA0618', 'BNA1508'], 'ENTSOE': ['11WD7LUNE2S--KW8', '11WD7KWHU----KW9'], 'GPD': ['WRI1005911'], 'GEO': ['GEO44329', 'GEO45030'], 'CARMA': ['CARMA26211']}",2058
Lada,Hard Coal,OCGT,PP,ES,347.7,,0,0,0,1981,2007,43.308109,-5.700788,"{'OPSD': ['OEU4555'], 'ENTSOE': ['18WLAD4-12345-0U'], 'GPD': ['WRI1006408'], 'GEO': ['GEO43832'], 'CARMA': ['CARMA24008']}",2052
Teruel,Lignite,OCGT,PP,ES,1055.77,,0,0,0,1979,1980,40.996283,-0.38417,"{'OPSD': ['OEU4644', 'OEU4643', 'OEU4645'], 'ENTSOE': ['18WTER1-12345-0D', '18WTER2-12345-03', '18WTER3-12345-0U'], 'GPD': ['WRI1023654'], 'GEO': ['GEO43820'], 'CARMA': ['CARMA45105']}",2025
Waldeck bringhausen waldeck waldeck germany,Hydro,Pumped Storage,Store,DE,580,,6.656896552,5.136,620,1931,2009,51.1665695,9.046466,"{'JRC': ['H74', 'H357'], 'OPSD': ['BNA0229', 'BNA0228'], 'ENTSOE': ['11WD2W2--0002757'], 'GEO': ['GEO44356', 'GEO44355'], 'CARMA': ['CARMA48779']}",2109
